DATUM;Niederschlag;Temperatur;RH;wind
02/11/01;2;21,8;72;1
02/11/02;0;19,35;66;1
02/11/03;0;20,8;68;1
02/11/04;0;17,35;63;1
02/11/05;0;17,505;60;1
02/11/06;0;24,75;14;1
02/11/07;0;30,3;7;1
02/11/08;0;28,6;54;1
02/11/09;0;24,3;74;1
02/11/10;0;24,6;50;1
02/11/11;0;20,505;76;1
02/11/12;0;19,1;87;1
02/11/13;0;19,1;66;1
02/11/14;0;19,7;27;1
02/11/15;0;25,2;44;1
02/11/16;0;20,75;60;1
02/11/17;0;24,25;39;1
02/11/18;0;25,85;84;1
02/11/19;1,5;19,4;78;1
02/11/20;0;19,15;57;1
02/11/21;0;26,1;63;1
02/11/22;0;21,85;62;1
02/11/23;3,1;26,1;63;1
02/11/24;0;21,85;62;1
02/11/25;0;23;67;1
02/11/26;0;23;67;1
02/11/27;16;21,25;64;1
02/11/28;15;23,3;71;1
02/11/29;0;23;52;1
02/11/30;0;23,3;71;1
02/12/01;0;23;52;1
02/12/02;0;26,4;55;1
02/12/03;0;23,5;55;1
02/12/04;3;26,25;46;1
02/12/05;0;27;52;1
02/12/06;0;24,85;74;1
02/12/07;0;24,55;62;1
02/12/08;0;24,7;72;1
02/12/09;6;23,4;75;1
02/12/10;0;21,8;67;1
02/12/11;0;19,5;60;1
02/12/12;0;20,35;50;1
02/12/13;0;21,85;70;1
02/12/14;0;22,25;76;1
02/12/15;0;21,2;74;1
02/12/16;0;16;70;1
02/12/17;0;16,95;65;1
02/12/18;0;21,5;43;1
02/12/19;0;23,25;35;1
02/12/20;5;19,75;75;1
02/12/21;2;18;75;1
02/12/22;3;22;74;1
02/12/23;0;21,55;64;1
02/12/24;0;21,25;75;1
02/12/25;0;16;70;1
02/12/26;0;16,95;65;1
02/12/27;0;21,5;43;1
02/12/28;0;23,25;35;1
02/12/29;0;19,75;75;1
02/12/30;0;18;75;1
02/12/31;1;22;74;1
03/01/01;0;21,55;64;1
03/01/02;0;21,25;75;1
03/01/03;0;25,3;75;1
03/01/04;0;22,5;75;1
03/01/05;2,5;22,5;74;1
03/01/06;3;26,3;64;1
03/01/07;3;24,8;75;1
03/01/08;0;23,5;68;1
03/01/09;0;21,4;55;1
03/01/10;0;22,2;75;1
03/01/11;0;23,2;72;1
03/01/12;0;22,25;72;1
03/01/13;0;22,4;69;1
03/01/14;0;22,85;89;1
03/01/15;0;24,5;74;1
03/01/16;0;23,65;70;1
03/01/17;0;24,6;75;1
03/01/18;0;24,7;32;1
03/01/19;2,5;37,7;56;1
03/01/20;0;24,35;65;1
03/01/21;0;23,5;68;1
03/01/22;24,5;22,4;70;1
03/01/23;0;23,75;70;1
03/01/24;0;23,7;74;1
03/01/25;0;21,65;57;1
03/01/26;0;21,65;57;1
03/01/27;0;21,95;70;1
03/01/28;0;22,55;69;1
03/01/29;1;25,8;96;1
03/01/30;5;23,6;64;1
03/01/31;0;24,05;65;1
03/02/01;15,5;25;62;1
03/02/02;0;25;62;1
03/02/03;0;26,35;50;1
03/02/04;6;26,55;62;1
03/02/05;0;25,5;50;1
03/02/06;0;28,2;41;1
03/02/07;0;28,6;65;1
03/02/08;0;28,6;65;1
03/02/09;0;23,25;65;1
03/02/10;3,5;27,4;55;1
03/02/11;0;27,75;70;1
03/02/12;0,5;27,75;70;1
03/02/13;0;28,65;75;1
02/11/02;0;19,35;66;1
02/11/03;0;20,8;68;1
02/11/04;0;17,35;63;1
02/11/05;0;17,505;60;1
02/11/06;0;24,75;14;1
02/11/07;0;30,3;7;1
02/11/08;0;28,6;54;1
02/11/09;0;24,3;74;1
02/11/10;0;24,6;50;1
02/11/11;0;20,505;76;1
02/11/12;0;19,1;87;1
02/11/13;0;19,1;66;1
02/11/14;0;19,7;27;1
02/11/15;0;25,2;44;1
02/11/16;0;20,75;60;1
02/11/17;0;24,25;39;1
02/11/18;0;25,85;84;1
02/11/19;1,5;19,4;78;1
02/11/20;0;19,15;57;1
02/11/21;0;26,1;63;1
02/11/22;0;21,85;62;1
02/11/23;3,1;26,1;63;1
02/11/24;0;21,85;62;1
02/11/25;0;23;67;1
02/11/26;0;23;67;1
02/11/27;16;21,25;64;1
02/11/28;15;23,3;71;1
02/11/29;0;23;52;1
02/11/30;0;23,3;71;1
02/12/01;0;23;52;1
02/12/02;0;26,4;55;1
02/12/03;0;23,5;55;1
02/12/04;3;26,25;46;1
02/12/05;0;27;52;1
02/12/06;0;24,85;74;1
02/12/07;0;24,55;62;1
02/12/08;0;24,7;72;1
02/12/09;6;23,4;75;1
02/12/10;0;21,8;67;1
02/12/11;0;19,5;60;1
02/12/12;0;20,35;50;1
02/12/13;0;21,85;70;1
02/12/14;0;22,25;76;1
02/12/15;0;21,2;74;1
02/12/16;0;16;70;1
02/12/17;0;16,95;65;1
02/12/18;0;21,5;43;1
02/12/19;0;23,25;35;1
02/12/20;5;19,75;75;1
02/12/21;2;18;75;1
02/12/22;3;22;74;1
02/12/23;0;21,55;64;1
02/12/24;0;21,25;75;1
02/12/25;0;16;70;1
02/12/26;0;16,95;65;1
02/12/27;0;21,5;43;1
02/12/28;0;23,25;35;1
02/12/29;0;19,75;75;1
02/12/30;0;18;75;1
02/12/31;1;22;74;1
03/01/01;0;21,55;64;1
03/01/02;0;21,25;75;1
03/01/03;0;25,3;75;1
03/01/04;0;22,5;75;1
03/01/05;2,5;22,5;74;1
03/01/06;3;26,3;64;1
03/01/07;3;24,8;75;1
03/01/08;0;23,5;68;1
03/01/09;0;21,4;55;1
03/01/10;0;22,2;75;1
03/01/11;0;23,2;72;1
03/01/12;0;22,25;72;1
03/01/13;0;22,4;69;1
03/01/14;0;22,85;89;1
03/01/15;0;24,5;74;1
03/01/16;0;23,65;70;1
03/01/17;0;24,6;75;1
03/01/18;0;24,7;32;1
03/01/19;2,5;37,7;56;1
03/01/20;0;24,35;65;1
03/01/21;0;23,5;68;1
03/01/22;24,5;22,4;70;1
03/01/23;0;23,75;70;1
03/01/24;0;23,7;74;1
03/01/25;0;21,65;57;1
03/01/26;0;21,65;57;1
03/01/27;0;21,95;70;1
03/01/28;0;22,55;69;1
03/01/29;1;25,8;96;1
03/01/30;5;23,6;64;1
03/01/31;0;24,05;65;1
03/02/01;15,5;25;62;1
03/02/02;0;25;62;1
03/02/03;0;26,35;50;1
03/02/04;6;26,55;62;1
03/02/05;0;25,5;50;1
03/02/06;0;28,2;41;1
03/02/07;0;28,6;65;1
03/02/08;0;28,6;65;1
03/02/09;0;23,25;65;1
03/02/10;3,5;27,4;55;1
03/02/11;0;27,75;70;1
03/02/12;0,5;27,75;70;1
03/02/13;0;28,65;75;1
02/11/02;0;19,35;66;1
02/11/03;0;20,8;68;1
02/11/04;0;17,35;63;1
02/11/05;0;17,505;60;1
02/11/06;0;24,75;14;1
02/11/07;0;30,3;7;1
02/11/08;0;28,6;54;1
02/11/09;0;24,3;74;1
02/11/10;0;24,6;50;1
02/11/11;0;20,505;76;1
02/11/12;0;19,1;87;1
02/11/13;0;19,1;66;1
02/11/14;0;19,7;27;1
02/11/15;0;25,2;44;1
02/11/16;0;20,75;60;1
02/11/17;0;24,25;39;1
02/11/18;0;25,85;84;1
02/11/19;1,5;19,4;78;1
02/11/20;0;19,15;57;1
02/11/21;0;26,1;63;1
02/11/22;0;21,85;62;1
02/11/23;3,1;26,1;63;1
02/11/24;0;21,85;62;1
02/11/25;0;23;67;1
02/11/26;0;23;67;1
02/11/27;16;21,25;64;1
02/11/28;15;23,3;71;1
02/11/29;0;23;52;1
02/11/30;0;23,3;71;1
02/12/01;0;23;52;1
02/12/02;0;26,4;55;1
02/12/03;0;23,5;55;1
02/12/04;3;26,25;46;1
02/12/05;0;27;52;1
02/12/06;0;24,85;74;1
02/12/07;0;24,55;62;1
02/12/08;0;24,7;72;1
02/12/09;6;23,4;75;1
02/12/10;0;21,8;67;1
02/12/11;0;19,5;60;1
02/12/12;0;20,35;50;1
02/12/13;0;21,85;70;1
02/12/14;0;22,25;76;1
02/12/15;0;21,2;74;1
02/12/16;0;16;70;1
02/12/17;0;16,95;65;1
02/12/18;0;21,5;43;1
02/12/19;0;23,25;35;1
02/12/20;5;19,75;75;1
02/12/21;2;18;75;1
02/12/22;3;22;74;1
02/12/23;0;21,55;64;1
02/12/24;0;21,25;75;1
02/12/25;0;16;70;1
02/12/26;0;16,95;65;1
02/12/27;0;21,5;43;1
02/12/28;0;23,25;35;1
02/12/29;0;19,75;75;1
02/12/30;0;18;75;1
02/12/31;1;22;74;1
03/01/01;0;21,55;64;1
03/01/02;0;21,25;75;1
03/01/03;0;25,3;75;1
03/01/04;0;22,5;75;1
03/01/05;2,5;22,5;74;1
03/01/06;3;26,3;64;1
03/01/07;3;24,8;75;1
03/01/08;0;23,5;68;1
03/01/09;0;21,4;55;1
03/01/10;0;22,2;75;1
03/01/11;0;23,2;72;1
03/01/12;0;22,25;72;1
03/01/13;0;22,4;69;1
03/01/14;0;22,85;89;1
03/01/15;0;24,5;74;1
03/01/16;0;23,65;70;1
03/01/17;0;24,6;75;1
03/01/18;0;24,7;32;1
03/01/19;2,5;37,7;56;1
03/01/20;0;24,35;65;1
